date_time,cpu_percent,mem_percent,cpu_average,pid_len,cpu_listval
2023-05-30 11:22:00,24.3,55.4,31.41,304,"74.7,15.4,39.1,15.4,30.8,16.9,43.6,15.4"
2023-05-30 11:22:12,23.0,55.4,19.76,304,"56.5,9.4,28.1,9.4,21.9,7.8,10.9,14.1"
2023-05-30 11:22:24,28.3,55.9,23.18,306,"63.2,12.3,27.3,13.8,27.3,9.2,16.9,15.4"
2023-05-30 11:22:36,20.0,57.4,21.35,307,"44.9,25.4,32.8,12.3,21.5,10.8,12.3,10.8"
2023-05-30 11:22:48,29.4,57.6,32.46,307,"36.2,23.1,54.1,31.2,36.9,18.8,32.8,26.6"
2023-05-30 11:23:00,20.1,57.9,39.1,308,"53.4,23.4,37.5,45.3,42.2,34.4,42.2,34.4"
2023-05-30 11:23:12,30.5,58.0,16.39,307,"25.7,19.7,18.5,10.9,15.6,12.5,18.8,9.4"
2023-05-30 11:23:24,39.7,58.5,15.97,307,"51.2,7.8,14.1,4.7,20.3,12.5,9.4,7.8"
2023-05-30 11:23:36,28.3,58.2,23.88,309,"72.9,12.3,41.2,16.9,20.0,4.6,12.3,10.8"
2023-05-30 11:23:48,24.8,57.8,22.4,308,"40.3,9.4,50.0,7.8,26.6,13.8,18.8,12.5"
2023-05-30 11:24:00,31.0,57.6,31.29,308,"77.6,20.0,35.3,16.7,40.6,13.8,18.5,27.8"
2023-05-30 11:24:12,25.1,57.7,28.82,308,"71.4,29.7,34.4,14.1,26.6,18.5,25.0,10.9"
2023-05-30 11:24:24,22.7,57.6,26.09,308,"62.1,23.1,26.6,10.9,25.0,21.9,21.9,17.2"
2023-05-30 11:24:36,23.2,56.5,17.79,308,"40.8,15.2,25.8,6.2,21.9,13.6,14.1,4.7"
2023-05-30 11:24:48,23.3,56.6,16.76,309,"32.0,13.8,25.8,7.7,23.1,9.1,14.9,7.7"
2023-05-30 11:25:01,25.0,56.5,24.44,306,"46.7,13.8,31.3,15.4,18.5,7.7,23.1,39.0"
2023-05-30 11:25:13,31.4,56.6,25.25,306,"69.5,6.2,56.1,12.3,18.2,12.3,13.6,13.8"
2023-05-30 11:25:25,35.0,56.6,25.36,308,"69.3,10.8,43.6,12.3,37.9,7.7,12.1,9.2"
2023-05-30 11:25:37,25.9,56.7,25.1,307,"81.4,12.3,16.9,16.9,36.4,16.9,9.2,10.8"
2023-05-30 11:25:49,22.9,57.0,21.47,307,"49.4,15.2,28.8,20.3,24.2,7.7,15.4,10.8"
2023-05-30 11:26:01,31.5,56.8,31.28,308,"76.3,16.9,49.3,18.5,32.3,20.0,21.5,15.4"
2023-05-30 11:26:13,30.6,56.7,23.71,307,"50.6,17.2,36.9,12.5,30.3,14.1,15.6,12.5"
2023-05-30 11:26:25,33.9,57.4,25.97,310,"51.9,12.1,38.0,15.2,38.2,20.6,12.1,19.7"
2023-05-30 11:26:37,17.9,57.4,15.49,310,"30.0,15.6,28.4,7.8,10.9,7.8,15.6,7.8"
2023-05-30 11:26:49,25.3,57.5,28.66,309,"57.3,24.6,42.9,19.4,27.7,18.2,26.9,12.3"
2023-05-30 11:27:01,35.6,57.5,26.11,308,"35.7,23.4,42.0,15.6,31.2,18.8,23.4,18.8"
2023-05-30 11:27:13,27.8,57.7,25.39,308,"53.8,25.0,35.3,12.5,31.2,17.2,15.6,12.5"
2023-05-30 11:27:25,35.2,57.9,34.96,309,"32.4,20.0,39.7,18.5,70.7,30.8,38.8,28.8"
2023-05-30 11:27:37,33.5,58.6,21.21,305,"51.2,15.6,22.1,12.5,28.1,7.8,21.5,10.9"
2023-05-30 11:27:49,25.6,58.0,27.24,306,"44.3,23.2,52.2,15.4,23.1,24.6,19.7,15.4"
2023-05-30 11:28:01,35.9,57.9,30.99,309,"45.9,12.3,57.7,9.2,36.9,22.4,35.8,27.7"
2023-05-30 11:28:13,37.5,57.9,23.19,309,"44.9,9.2,35.4,15.4,20.0,17.9,22.7,20.0"
2023-05-30 11:28:25,38.2,57.7,25.58,310,"39.7,12.5,39.4,18.8,28.1,13.8,30.8,21.5"
2023-05-30 11:28:38,27.5,57.7,29.88,311,"64.0,15.6,50.0,21.9,21.9,15.6,28.1,21.9"
2023-05-30 11:28:50,23.0,57.5,20.68,310,"59.8,9.2,29.0,9.2,20.0,9.2,16.9,12.1"
2023-05-30 11:29:02,31.5,57.3,26.54,309,"52.9,15.4,18.5,9.2,26.2,6.2,12.3,71.6"
2023-05-30 11:29:14,28.6,57.1,27.83,308,"87.3,15.2,36.4,10.8,31.8,10.6,18.2,12.3"
2023-05-30 11:29:26,26.9,57.1,33.89,308,"59.8,23.4,45.1,25.0,31.2,33.8,29.7,23.1"
2023-05-30 11:29:38,36.0,56.3,29.78,308,"59.3,15.4,43.5,24.6,30.8,18.5,24.6,21.5"
2023-05-30 11:29:50,35.7,56.6,22.2,308,"71.0,12.3,36.2,13.8,21.2,6.2,9.2,7.7"
2023-05-30 11:30:02,27.2,56.3,29.6,304,"77.0,12.5,28.8,15.6,29.2,10.9,17.2,45.6"
